mQp,Uo,my1,h1,mUp,mQ0,y1,vol1
0.000501938483264692,1,-5.62081627343819e-07,0.5,0.000501938483264692,0,-5.62081627343819e-07,0
0.000503369950683917,1,0.00322457457669816,0.5,0.000503369950683917,9.06398917924117e-06,0.00322457457669816,0
0.000502267569047015,1,0.00641481946491399,0.5,0.000502267569047015,1.27862097723583e-05,0.00641481946491399,0
0.000502539397636171,1,0.00958550594811892,0.5,0.000502539397636171,1.56296178654003e-05,0.00958550594811892,0
0.00050316249558426,1,0.0127396839459676,0.5,0.00050316249558426,1.80181319573408e-05,0.0127396839459676,0
0.00050156970911309,1,0.0158771400628807,0.5,0.00050156970911309,2.01159518677553e-05,0.0158771400628807,0
0.000501607488162125,1,0.0190033088318418,0.5,0.000501607488162125,2.20072885141295e-05,0.0190033088318418,0
0.000502559965278706,1,0.0221186402041526,0.5,0.000502559965278706,2.37421665952348e-05,0.0221186402041526,0
0.00050284286366019,1,0.0252224531596232,0.5,0.00050284286366019,2.53531796753836e-05,0.0252224531596232,0
0.000501515961264458,1,0.0283145341608839,0.5,0.000501515961264458,2.68629671164794e-05,0.0283145341608839,0
0.000473210665757811,1,0.0313991724916484,0.5,0.000473210665757811,2.82880123503894e-05,0.0313991724916484,0
0.000472577518931339,1,0.0342850006515426,0.5,0.000472577518931339,2.95596499629255e-05,0.0342850006515426,0
0.000473278806405217,1,0.0371640910452374,0.5,0.000473278806405217,3.07754520627095e-05,0.0371640910452374,0
0.000473817379881022,1,0.0400352872198706,0.5,0.000473817379881022,3.19419310082426e-05,0.0400352872198706,0
0.000473621787742015,1,0.04289832012404,0.5,0.000473621787742015,3.30644239809567e-05,0.04289832012404,0
0.000474304707445757,1,0.0457550732198321,0.5,0.000474304707445757,3.41473700387414e-05,0.0457550732198321,0
0.000474136168237319,1,0.0486040608591058,0.5,0.000474136168237319,3.51945084521827e-05,0.0486040608591058,0
0.000473497692011474,1,0.0514458864729843,0.5,0.000473497692011474,3.62090240467428e-05,0.0514458864729843,0
0.000472627764237817,1,0.0542809912736746,0.5,0.000472627764237817,3.71936558934434e-05,0.0542809912736746,0
0.000473751672380899,1,0.0571117867069366,0.5,0.000473751672380899,3.81507800487573e-05,0.0571117867069366,0
0.00044694048048683,1,0.0599348509202208,0.5,0.00044694048048683,3.90824735372427e-05,0.0599348509202208,0
0.000447510862962017,1,0.0625821583926677,0.5,0.000447510862962017,3.99360945285955e-05,0.0625821583926677,0
0.000447929123434107,1,0.0652238350156793,0.5,0.000447929123434107,4.07701352661681e-05,0.0652238350156793,0
0.000447632877852499,1,0.0678594415318826,0.5,0.000447632877852499,4.15858115940783e-05,0.0678594415318826,0
0.000446633387760456,1,0.0704891048362164,0.5,0.000446633387760456,4.23842185495434e-05,0.0704891048362164,0
0.000446203410800543,1,0.0731142065567984,0.5,0.000446203410800543,4.31663465274731e-05,0.0731142065567984,0
0.000447580645542299,1,0.0757360871341698,0.5,0.000447580645542299,4.3933094766171e-05,0.0757360871341698,0
0.000446764950225388,1,0.0783508435941307,0.5,0.000446764950225388,4.468528267757e-05,0.0783508435941307,0
0.000447373758908903,1,0.0809621854502822,0.5,0.000447373758908903,4.54236594286882e-05,0.0809621854502822,0
0.000447621302745031,1,0.0835684143542689,0.5,0.000447621302745031,4.61489120933073e-05,0.0835684143542689,0
0.00042392436005998,1,0.0861701964223254,0.5,0.00042392436005998,4.68616726263023e-05,0.0861701964223254,0
0.000422672962630363,1,0.0886088822707489,0.5,0.000422672962630363,4.75205007367738e-05,0.0886088822707489,0
0.000422436363060113,1,0.0910443379473817,0.5,0.000422436363060113,4.81691959291414e-05,0.0910443379473817,0
0.00042390738586134,1,0.0934773206924515,0.5,0.00042390738586134,4.88081790433079e-05,0.0934773206924515,0
0.000423387606090463,1,0.095904193857481,0.5,0.000423387606090463,4.94378425887839e-05,0.095904193857481,0
0.00042344899695888,1,0.0983275887282468,0.5,0.00042344899695888,5.00585533447171e-05,0.0983275887282468,0
0.000423245322438419,1,0.100746716076844,0.5,0.000423245322438419,5.06706546609488e-05,0.100746716076844,0
0.000422087657054809,1,0.103160941826854,0.5,0.000422087657054809,5.12744685010724e-05,0.103160941826854,0
0.000423205554725114,1,0.105573548355037,0.5,0.000423205554725114,5.18702972619906e-05,0.105573548355037,0
0.000423711699546063,1,0.107981699263797,0.5,0.000423711699546063,5.24584253991488e-05,0.107981699263797,0
0.000400221654726,1,0.110384325292303,0.5,0.000400221654726,5.30391208822209e-05,0.110384325292303,0
0.000400549057603774,1,0.112640282606417,0.5,0.000400549057603774,5.3578287705472e-05,0.112640282606417,0
0.000401209224348224,1,0.114893091809554,0.5,0.000401209224348224,5.41112629042375e-05,0.114893091809554,0
0.000400631698322481,1,0.117141222026818,0.5,0.000400631698322481,5.46382369007294e-05,0.117141222026818,0
0.00040015178365983,1,0.119386046938974,0.5,0.00040015178365983,5.51593905610119e-05,0.119386046938974,0
0.000400226048473079,1,0.121628060345541,0.5,0.000400226048473079,5.56748958531341e-05,0.121628060345541,0
0.000400394764751085,1,0.123866838660488,0.5,0.000400394764751085,5.61849164481116e-05,0.123866838660488,0
0.000400009249193303,1,0.126101768305132,0.5,0.000400009249193303,5.66896082697071e-05,0.126101768305132,0
0.000400649269558497,1,0.128334463163139,0.5,0.000400649269558497,5.71891199982434e-05,0.128334463163139,0
0.000401471547365579,1,0.130564113128732,0.5,0.000401471547365579,5.76835935330595e-05,0.130564113128732,0
0.000380925258400422,1,0.132789769042429,0.5,0.000380925258400422,5.81731644176869e-05,0.132789769042429,0
