mQp,mUb,Uo,my1,my,h1,mUp,mQ0,y1,vol1,y2,vol2
5.38176823952633e-05,0,1,0.493111531724918,0.0932095890154122,0.5,5.38176823952633e-05,4.87374140726583e-05,0.493111531724918,0,0.0932095890154122,0
5.37409083549905e-05,0,1,0.493077118136571,0.0926630588268425,0.5,5.37409083549905e-05,4.86546707947363e-05,0.493077118136571,0,0.0926630588268425,0
5.37996134897077e-05,0,1,0.493720100423174,0.0925235034572551,0.5,5.37996134897077e-05,4.85719275168142e-05,0.493720100423174,0,0.0925235034572551,0
5.3856812680757e-05,0,1,0.494355552991438,0.0923799675506767,0.5,5.3856812680757e-05,4.84891842388921e-05,0.494355552991438,0,0.0923799675506767,0
5.3803616646338e-05,0,1,0.49443902943236,0.0919057832617059,0.5,5.3803616646338e-05,4.840644096097e-05,0.49443902943236,0,0.0919057832617059,0
5.37362915261668e-05,0,1,0.494451860444521,0.0913897490094909,0.5,5.37362915261668e-05,4.8323697683048e-05,0.494451860444521,0,0.0913897490094909,0
5.37852337026284e-05,0,1,0.495046027939847,0.091223053941187,0.5,5.37852337026284e-05,4.82409544051259e-05,0.495046027939847,0,0.091223053941187,0
5.049537864263e-05,0,1,0.49580852920363,0.09115789642797,0.5,5.049537864263e-05,4.81582111272038e-05,0.49580852920363,0,0.09115789642797,0
5.04115563334583e-05,0,1,0.49571697515397,0.0905939824907909,0.5,5.04115563334583e-05,4.80754678492817e-05,0.49571697515397,0,0.0905939824907909,0
5.04100060847266e-05,0,1,0.496036781406509,0.0902774220289446,0.5,5.04100060847266e-05,4.79927245713596e-05,0.496036781406509,0,0.0902774220289446,0
5.04409116226071e-05,1,1,0.496446877495212,0.0901307485361808,0.5,5.04409116226071e-05,4.79291223764187e-05,0.496446877495212,0,0.0901307485361808,0
5.05167763142091e-05,1,1,0.49649433183334,0.0907062408868612,0.5,5.05167763142091e-05,4.80215257446318e-05,0.49649433183334,0,0.0907062408868612,0
5.04422225634396e-05,1,1,0.495790245563734,0.0908293278515969,0.5,5.04422225634396e-05,4.81134470677651e-05,0.495790245563734,0,0.0908293278515969,0
5.04173333805698e-05,1,1,0.495335032817654,0.0911002624990151,0.5,5.04173333805698e-05,4.82048901707908e-05,0.495335032817654,0,0.0911002624990151,0
5.05048368885302e-05,1,1,0.495442333291369,0.0917072332093317,0.5,5.05048368885302e-05,4.8295858828468e-05,0.495442333291369,0,0.0917072332093317,0
5.03762951782426e-05,1,1,0.494469956522809,0.0916649302406855,0.5,5.03762951782426e-05,4.83863567662778e-05,0.494469956522809,0,0.0916649302406855,0
5.0375770374805e-05,1,1,0.494138212222469,0.0920055439280215,0.5,5.0375770374805e-05,4.84763876613352e-05,0.494138212222469,0,0.0920055439280215,0
5.2487607206768e-05,1,1,0.493707782086551,0.0922854877713039,0.5,5.2487607206768e-05,4.85659551432797e-05,0.493707782086551,0,0.0922854877713039,0
5.25059128990394e-05,1,1,0.493485123249391,0.0926803422439569,0.5,5.25059128990394e-05,4.86550642747537e-05,0.493485123249391,0,0.0926803422439569,0
