mQp,mUb,Uo,my1,my,h1,mUp,mQ0,y1,vol1,y2,vol2
4.37466263272331e-05,1,1,0.502684389692608,0.0938374630686151,0.5,4.37466263272331e-05,4.8902115589068e-05,0.502684389692608,0,0.0938374630686151,0
4.28839246696032e-05,1,1,0.502299967154584,0.0941802182857421,0.5,4.28839246696032e-05,4.89915705765399e-05,0.502299967154584,0,0.0941802182857421,0
4.34571648838976e-05,1,1,0.501917568866517,0.0945232417756619,0.5,4.34571648838976e-05,4.90805593698904e-05,0.501917568866517,0,0.0945232417756619,0
4.19054465298812e-05,1,1,0.501533633029847,0.094862976551752,0.5,4.19054465298812e-05,4.91690855146369e-05,0.501533633029847,0,0.094862976551752,0
4.75848994626477e-05,1,1,0.501153676392994,0.0952049441484985,0.5,4.75848994626477e-05,4.92571525114002e-05,0.501153676392994,0,0.0952049441484985,0
4.73740667298199e-05,1,1,0.500797168677378,0.0955437140604714,0.5,4.73740667298199e-05,4.93447664291353e-05,0.500797168677378,0,0.0955437140604714,0
4.56989892143169e-05,1,1,0.50043976119555,0.0958798877809126,0.5,4.56989892143169e-05,4.94319332696719e-05,0.50043976119555,0,0.0958798877809126,0
4.66711861560336e-05,1,1,0.500085564572173,0.0962175806158864,0.5,4.66711861560336e-05,4.95186563684073e-05,0.500085564572173,0,0.0962175806158864,0
4.63851855884121e-05,1,1,0.499730672442205,0.0965528908572235,0.5,4.63851855884121e-05,4.96049390195308e-05,0.499730672442205,0,0.0965528908572235,0
4.75736455729923e-05,1,1,0.499377816572126,0.0968885549040322,0.5,4.75736455729923e-05,4.96907844767468e-05,0.499377816572126,0,0.0968885549040322,0
4.60206064135747e-05,1,1,0.499022780112136,0.0972203605151836,0.5,4.60206064135747e-05,4.97761959539821e-05,0.499022780112136,0,0.0972203605151836,0
4.60914540813614e-05,1,1,0.498669927559575,0.0975526767730036,0.5,4.60914540813614e-05,4.98611766260773e-05,0.498669927559575,0,0.0975526767730036,0
4.68282065722175e-05,1,1,0.498318300045267,0.0978845493698928,0.5,4.68282065722175e-05,4.99457296294629e-05,0.498318300045267,0,0.0978845493698928,0
4.74273203907545e-05,1,1,0.497967093139993,0.0982151784150678,0.5,4.74273203907545e-05,5.002985806282e-05,0.497967093139993,0,0.0982151784150678,0
5.02837187509963e-05,1,1,0.497615150432474,0.0985434120128071,0.5,5.02837187509963e-05,5.01135649877271e-05,0.497615150432474,0,0.0985434120128071,0
4.93543074594188e-05,1,1,0.497286574274878,0.0988703210169092,0.5,4.93543074594188e-05,5.01968558249979e-05,0.497286574274878,0,0.0988703210169092,0
5.07387299150464e-05,1,1,0.496960848664378,0.0991984676269266,0.5,5.07387299150464e-05,5.02797359386621e-05,0.496960848664378,0,0.0991984676269266,0
5.07269416492613e-05,1,1,0.496634262675888,0.0995241453365354,0.5,5.07269416492613e-05,5.03622082516879e-05,0.496634262675888,0,0.0995241453365354,0
5.0601558599022e-05,1,1,0.496308098046177,0.0998486402794984,0.5,5.0601558599022e-05,5.04442756528583e-05,0.496308098046177,0,0.0998486402794984,0
4.92886332261379e-05,1,1,0.495981279949981,0.100170882006014,0.5,4.92886332261379e-05,5.05259409973401e-05,0.495981279949981,0,0.100170882006014,0
5.09518911629281e-05,1,1,0.495657971236635,0.10049503771959,0.5,5.09518911629281e-05,5.06072071072408e-05,0.495657971236635,0,0.10049503771959,0
4.93280347964912e-05,1,1,0.495331907733651,0.100814847580843,0.5,4.93280347964912e-05,5.06880767721541e-05,0.495331907733651,0,0.100814847580843,0
5.11740840921579e-05,1,1,0.495009845587532,0.101137072048551,0.5,5.11740840921579e-05,5.07685527496932e-05,0.495009845587532,0,0.101137072048551,0
4.97245963615535e-05,1,1,0.494685018483532,0.101454949099627,0.5,4.97245963615535e-05,5.08486377660137e-05,0.494685018483532,0,0.101454949099627,0
5.3465015087671e-05,1,1,0.494362630287475,0.101773686871166,0.5,5.3465015087671e-05,5.09283345163246e-05,0.494362630287475,0,0.101773686871166,0
5.38401041716439e-05,1,1,0.494061980803358,0.102091303714898,0.5,5.38401041716439e-05,5.10076478617673e-05,0.494061980803358,0,0.102091303714898,0
5.3962338504076e-05,1,1,0.493761588842813,0.102407643534428,0.5,5.3962338504076e-05,5.10865826150772e-05,0.493761588842813,0,0.102407643534428,0
5.43547636911908e-05,1,1,0.49346197658583,0.102723232690986,0.5,5.43547636911908e-05,5.11651413542095e-05,0.49346197658583,0,0.102723232690986,0
5.38448835300405e-05,1,1,0.493161970671995,0.103036901985937,0.5,5.38448835300405e-05,5.12433266285059e-05,0.493161970671995,0,0.103036901985937,0
5.42890150769012e-05,1,1,0.492863426555556,0.10335051101604,0.5,5.42890150769012e-05,5.13211409591472e-05,0.492863426555556,0,0.10335051101604,0
5.28079231633756e-05,1,1,0.492563464139927,0.103661183808161,0.5,5.28079231633756e-05,5.13985868395974e-05,0.492563464139927,0,0.103661183808161,0
5.40961325399009e-05,1,1,0.492266777089825,0.103973618131593,0.5,5.40961325399009e-05,5.1475666736038e-05,0.492266777089825,0,0.103973618131593,0
5.30311237994641e-05,1,1,0.491968242027188,0.104282694694171,0.5,5.30311237994641e-05,5.15523830877946e-05,0.491968242027188,0,0.104282694694171,0
5.3429223278915e-05,1,1,0.491671674421067,0.10459223303235,0.5,5.3429223278915e-05,5.16287383077536e-05,0.491671674421067,0,0.10459223303235,0
5.73168541877457e-05,1,1,0.491376070158967,0.104901233082734,0.5,5.73168541877457e-05,5.17047347827719e-05,0.491376070158967,0,0.104901233082734,0
5.69015148796927e-05,1,1,0.491099360302062,0.105207973062751,0.5,5.69015148796927e-05,5.17803768878331e-05,0.491099360302062,0,0.105207973062751,0
5.62937644338054e-05,1,1,0.490822943445063,0.105513545175813,0.5,5.62937644338054e-05,5.18556689563684e-05,0.490822943445063,0,0.105513545175813,0
5.58320204054468e-05,1,1,0.490547157155798,0.105818290954728,0.5,5.58320204054468e-05,5.19306132752934e-05,0.490547157155798,0,0.105818290954728,0
5.7300135782439e-05,1,1,0.490273784438904,0.106123997351589,0.5,5.7300135782439e-05,5.20052121073774e-05,0.490273784438904,0,0.106123997351589,0
5.59152768904262e-05,1,1,0.489998041613728,0.10642588461584,0.5,5.59152768904262e-05,5.20794676916082e-05,0.489998041613728,0,0.10642588461584,0
